volcano,volcanoLabel,latitude,longitude
http://www.wikidata.org/entity/Q204821,Île Saint-Paul,-38.73,77.522222222222
http://www.wikidata.org/entity/Q634065,Lastarria,-25.166666666667,-68.5
http://www.wikidata.org/entity/Q334728,Abu,34.5,131.6
http://www.wikidata.org/entity/Q335498,Þorbjörn,63.8658108209,-22.4366166804
http://www.wikidata.org/entity/Q375398,Irruputuncu,-20.733333333333,-68.566666666667
http://www.wikidata.org/entity/Q252081,"Guallatiri, Chile",-18.4167,-69.0917
http://www.wikidata.org/entity/Q337644,Acamarachi,-23.295833333333,-67.617222222222
http://www.wikidata.org/entity/Q568090,Puy Griou,45.0803,2.70611
http://www.wikidata.org/entity/Q255010,Parinacota,-18.165752777778,-69.141611111111
http://www.wikidata.org/entity/Q43876,Mount Batur,-8.2419444444444,115.375
http://www.wikidata.org/entity/Q163890,Prestahnúkur,64.6,-20.58
http://www.wikidata.org/entity/Q194215,Amsterdam Islands,-37.825833333333,77.554722222222
http://www.wikidata.org/entity/Q380300,Mount Overlord,-73.166666666667,164.6
http://www.wikidata.org/entity/Q620860,Mount Unzen,32.761342,130.298694
http://www.wikidata.org/entity/Q524216,Atsonupuri,44.807222222222,147.1275
http://www.wikidata.org/entity/Q392766,Mount Yasur,-19.533333333333,169.44166666667
http://www.wikidata.org/entity/Q279915,Mount Kusatsu-Shirane,36.645277777778,138.52833333333
http://www.wikidata.org/entity/Q383862,Mount Lurus,-7.7391666666667,113.58027777778
http://www.wikidata.org/entity/Q188982,Mount Erebus,-77.533333333333,167.28333333333
http://www.wikidata.org/entity/Q185847,Mount Wrangell,62.006944444444,-144.01583333333
http://www.wikidata.org/entity/Q202629,Lonquimay,-38.37894444,-71.59272222
http://www.wikidata.org/entity/Q214916,Llullaillaco,-24.719863,-68.536852
http://www.wikidata.org/entity/Q577482,Cerro Solo,-27.108333333333,-68.716666666667
http://www.wikidata.org/entity/Q422965,Tromen,-37.142,-70.03
http://www.wikidata.org/entity/Q312929,Viedma,-49.358333333333,-73.283333333333
http://www.wikidata.org/entity/Q150081,Mount Kaba,-3.52,102.62
http://www.wikidata.org/entity/Q575891,Momotombo,12.424312,-86.538577
http://www.wikidata.org/entity/Q457596,Ambitle,-4.0833333333333,153.95
http://www.wikidata.org/entity/Q207284,Mount Ruapehu,-39.281666666667,175.56861111111
http://www.wikidata.org/entity/Q578799,Malinche,19.23083333,-98.03194444
http://www.wikidata.org/entity/Q547770,Tyatya,44.35408,146.25099
http://www.wikidata.org/entity/Q607372,Puy de Dôme,45.772,2.9624
http://www.wikidata.org/entity/Q298119,Öræfajökull,64.025436111111,-16.642063888889
http://www.wikidata.org/entity/Q577700,Puyehue-Cordón Caulle,-40.590277777778,-72.117222222222
http://www.wikidata.org/entity/Q152380,Chaité,-42.832777777778,-72.645833333333
http://www.wikidata.org/entity/Q233351,Nevado del Ruiz,4.8925,-75.323611111111
http://www.wikidata.org/entity/Q137953,Ilopango,13.66666667,-89.05
http://www.wikidata.org/entity/Q137953,Ilopango,13.66666667,-89.05
http://www.wikidata.org/entity/Q280822,Brennisteinsalda,63.980833,-19.145833
http://www.wikidata.org/entity/Q315110,Hohe Acht,50.385833333333,7.0111111111111
http://www.wikidata.org/entity/Q639993,Ardoukoba,11.571944444444,42.495833333333
http://www.wikidata.org/entity/Q312866,Antofalla,-25.5625,-67.880833333333
http://www.wikidata.org/entity/Q692922,Novarupta,58.266666666667,-155.15666666667
http://www.wikidata.org/entity/Q538601,Terevaka,-27.084444444444,-109.37944444444
http://www.wikidata.org/entity/Q590920,Cerro Bravo,5.0891666666667,-75.292222222222
http://www.wikidata.org/entity/Q415251,Mount Akagi,36.560833333333,139.19361111111
http://www.wikidata.org/entity/Q214696,Mount Nyiragongo,-1.5166666666667,29.25
http://www.wikidata.org/entity/Q312862,Aracar,-24.29,-67.7833
http://www.wikidata.org/entity/Q419247,Akita-Komagatake,39.760833333333,140.80361111111
http://www.wikidata.org/entity/Q231620,Parícutin,19.493,-102.251
http://www.wikidata.org/entity/Q38954,Teide,28.272638888889,-16.643611111111
http://www.wikidata.org/entity/Q26546,Doña Juana,1.47075,-76.924902777778
http://www.wikidata.org/entity/Q166972,Zavodovski Island,-56.3,-27.58
http://www.wikidata.org/entity/Q235062,Galeras,1.2166666666667,-77.366666666667
http://www.wikidata.org/entity/Q181157,Popocatépetl,19.02222,-98.62778
http://www.wikidata.org/entity/Q279915,Mount Kusatsu-Shirane,36.643888888889,138.52777777778
http://www.wikidata.org/entity/Q190562,Mount Cameroon,4.2166666666667,9.1725
http://www.wikidata.org/entity/Q190562,Mount Cameroon,4.2166666666667,9.1725
http://www.wikidata.org/entity/Q587915,Makian,0.33333333333333,127.36666666667
http://www.wikidata.org/entity/Q227496,Zubair Group,15.05,42.16666667
http://www.wikidata.org/entity/Q691021,Cay,-45.0625,-72.98583333
http://www.wikidata.org/entity/Q513216,Kelut,-7.9333333333333,112.30555555556
http://www.wikidata.org/entity/Q521660,Sierra Nevada,-38.58333333,-71.58333333
http://www.wikidata.org/entity/Q368857,Bandama Caldera,28.033333,-15.455556
http://www.wikidata.org/entity/Q511443,Mallahle,13.277,41.655
http://www.wikidata.org/entity/Q607196,San Cristóbal Volcano,12.7,-87.0
http://www.wikidata.org/entity/Q312930,Copahue,-37.852222222222,-71.1675
http://www.wikidata.org/entity/Q547770,Tyatya,44.353888888889,146.25083333333
http://www.wikidata.org/entity/Q25736,Volcano Kropotkin,52.704077777778,99.000027777778
http://www.wikidata.org/entity/Q598893,Gunung Merbabu,-7.455,110.44
http://www.wikidata.org/entity/Q422765,Socompa,-24.393333333333,-68.256111111111
http://www.wikidata.org/entity/Q422737,Pomerape,-18.126275,-69.126719444444
http://www.wikidata.org/entity/Q42118,Pulosari,-6.342,105.975
http://www.wikidata.org/entity/Q335279,Þeistareykir,65.88,-16.84
http://www.wikidata.org/entity/Q335279,Þeistareykir,65.88,-16.84
http://www.wikidata.org/entity/Q4148786,Q4148786,58.05,160.78333333333
http://www.wikidata.org/entity/Q4253806,Q4253806,58.18,160.82
http://www.wikidata.org/entity/Q4224399,Q4224399,56.518611111111,161.39083333333
http://www.wikidata.org/entity/Q4217795,Q4217795,58.633333333333,160.83333333333
http://www.wikidata.org/entity/Q4210886,Q4210886,58.083333333333,160.75
http://www.wikidata.org/entity/Q4210886,Q4210886,58.083333333333,160.75
http://www.wikidata.org/entity/Q4179246,Severny,58.282777777778,160.87138888889
http://www.wikidata.org/entity/Q4218811,Q4218811,57.9,160.61666666667
http://www.wikidata.org/entity/Q4221257,Q4221257,56.516666666667,161.36666666667
